Part_Code,Month,Stockout,Bal Qty,Sal Qty,Estimated Demand
FDX1L2Z-13008-AA ,2024-06-01,False,1.0,0.0,
FDX1L2Z-13008-AA ,2024-07-01,False,1.0,0.0,
FDX1L2Z-13008-AA ,2024-08-01,False,1.0,0.0,
FDX1L2Z-13008-AA ,2024-09-01,False,1.0,0.0,
FDX1L2Z-13008-AA ,2024-10-01,False,1.0,0.0,
FDX1L2Z-13008-AA ,2024-11-01,False,1.0,0.0,
FDX1L2Z-13008-AA ,2024-12-01,False,5.0,0.0,
FDX1L2Z-13008-AA ,2025-01-01,False,5.0,0.0,
FDX1L2Z-13008-AA ,2025-02-01,False,5.0,0.0,
FDX1L2Z-13008-AA ,2025-03-01,False,5.0,0.0,
FDX1L2Z-13008-AA ,2025-04-01,False,4.0,1.0,
FDX1L2Z-13008-AA ,2025-05-01,False,4.0,0.0,0.0
FDX1L2Z-13008-AA ,2025-06-01,False,4.0,0.0,0.0
FDX1L2Z-13201-AA ,2024-06-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2024-07-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2024-08-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2024-09-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2024-10-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2024-11-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2024-12-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2025-01-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2025-02-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2025-03-01,False,2.0,0.0,
FDX1L2Z-13201-AA ,2025-04-01,False,6.0,0.0,
FDX1L2Z-13201-AA ,2025-05-01,False,6.0,0.0,2.0
FDX1L2Z-13201-AA ,2025-06-01,False,5.0,1.0,0.0
FDX1L2Z-13404-AA ,2024-06-01,False,5.0,0.0,
FDX1L2Z-13404-AA ,2024-07-01,False,5.0,0.0,
FDX1L2Z-13404-AA ,2024-08-01,False,5.0,0.0,
FDX1L2Z-13404-AA ,2024-09-01,False,5.0,0.0,
