Seq No,Itm Code,Function Description,Opn Qty,Pur Qty 01,Sal Qty 01,Bal Qty 01,Pur Qty 02,Sal Qty 02,Bal Qty 02,Pur Qty 03,Sal Qty 03,Bal Qty 03,Pur Qty 04,Sal Qty 04,Bal Qty 04,Pur Qty 05,Sal Qty 05,Bal Qty 05,Pur Qty 06,Sal Qty 06,Bal Qty 06,Pur Qty 07,Sal Qty 07,Bal Qty 07,Pur Qty 08,Sal Qty 08,Bal Qty 08,Pur Qty 09,Sal Qty 09,Bal Qty 09,Pur Qty 10,Sal Qty 10,Bal Qty 10,Pur Qty 11,Sal Qty 11,Bal Qty 11,Pur Qty 12,Sal Qty 12,Bal Qty 12
63,GAB59024 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,GAB61517 ,SHOCK ABSORBER,14,0,0,14,0,0,14,0,0,14,0,0,14,0,2,12,0,0,12,0,6,6,0,2,4,0,2,2,10,2,10,0,6,4,0,2,2
65,GAB61522 ,SHOCK ABSORBER,18,0,0,18,0,0,18,0,0,18,0,2,16,0,0,16,0,0,16,0,6,10,0,0,10,0,0,10,0,0,10,0,8,2,0,1,1
66,GAB61696 ,SHOCK ABSORBER,10,0,0,10,0,2,8,0,0,8,0,0,8,0,0,8,0,0,8,0,2,6,0,0,6,0,0,6,0,0,6,0,6,0,0,0,0
67,GAB61711 ,SHOCK ABSORBER,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0,26,0,4,22,0,0,22
68,GAB61718 ,SHOCK ABSORBER,0,10,0,10,0,0,10,0,0,10,0,0,10,0,2,8,0,0,8,0,1,7,0,2,5,0,0,5,0,0,5,0,2,3,0,0,3
69,GAB63347 ,SHOCK ABSORBER,0,80,36,44,0,4,40,0,0,40,20,2,58,0,22,36,0,4,32,0,0,32,0,0,32,0,4,28,50,16,62,0,2,60,0,2,58
70,GAB63349 ,SHOCK ABSORBER,11,100,4,107,0,0,107,0,0,107,100,8,199,0,52,147,0,16,131,0,8,123,0,26,97,0,18,79,60,8,131,0,4,127,0,16,111
71,GAB63353 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,GAB63355 ,SHOCK ABSORBER,0,60,4,56,0,4,52,0,4,48,0,0,48,0,36,12,0,12,0,0,0,0,0,0,0,0,0,0,100,0,100,0,54,46,0,10,36
73,GAB63387 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,GAB63422 ,SHOCK ABSORBER,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,2,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14
75,GAB63423 ,SHOCK ABSORBER,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17
76,GAB63424 ,SHOCK ABSORBER,19,0,0,19,0,0,19,0,0,19,0,2,17,0,0,17,0,4,13,0,0,13,0,2,11,0,4,7,0,0,7,0,0,7,0,2,5
77,GAB63425 ,SHOCK ABSORBER,33,0,8,25,0,10,15,0,2,13,0,2,11,0,4,7,0,2,5,0,0,3,0,2,1,0,0,1,50,2,49,0,2,47,0,2,45
78,GAB63454 ,SHOCK ABSORBER,0,24,0,24,0,6,18,0,0,18,0,0,18,0,4,14,0,4,10,0,4,6,0,2,4,0,4,0,10,0,10,0,2,8,0,2,6
79,GAB63488 ,SHOCK ABSORBER,18,20,4,34,0,0,34,0,2,32,20,4,48,0,4,44,0,10,34,0,6,28,0,8,20,0,4,16,0,2,14,0,4,10,0,6,4
80,GAB63489 ,SHOCK ABSORBER,2,0,0,2,0,0,2,100,0,102,100,42,160,0,5,155,0,18,137,0,18,117,0,84,33,0,20,13,0,9,4,0,0,4,0,0,4
81,GAB63511 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,GAB63609 ,SHOCK ABSORBER,22,20,2,40,0,2,38,0,4,34,0,4,30,0,2,28,0,6,22,0,6,16,0,4,12,0,2,10,0,6,4,0,2,2,0,0,2
